nohup: 忽略输入
[I 2025-09-28 20:15:34,292] A new study created in memory with name: no-name-758f51cd-e288-47fd-a311-73e5f7cba521
[I 2025-09-28 20:15:38,423] Trial 0 finished with value: 1.8746731281280518 and parameters: {'out_channels1': 4, 'kernel_size1': 2, 'dropout_rate': 0.5, 'hidden_dim': 81}. Best is trial 0 with value: 1.8746731281280518.
[I 2025-09-28 20:15:40,959] Trial 1 finished with value: 1.9432412385940552 and parameters: {'out_channels1': 11, 'kernel_size1': 2, 'dropout_rate': 0.4, 'hidden_dim': 242}. Best is trial 1 with value: 1.9432412385940552.
[I 2025-09-28 20:15:45,347] Trial 2 finished with value: 1.8882395029067993 and parameters: {'out_channels1': 16, 'kernel_size1': 2, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 122}. Best is trial 1 with value: 1.9432412385940552.
[I 2025-09-28 20:15:49,551] Trial 3 finished with value: 1.8311026096343994 and parameters: {'out_channels1': 13, 'kernel_size1': 2, 'dropout_rate': 0.5, 'hidden_dim': 173}. Best is trial 1 with value: 1.9432412385940552.
[I 2025-09-28 20:15:53,606] Trial 4 finished with value: 1.9352473020553589 and parameters: {'out_channels1': 10, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 128}. Best is trial 1 with value: 1.9432412385940552.
[I 2025-09-28 20:15:57,201] Trial 5 finished with value: 1.881075382232666 and parameters: {'out_channels1': 14, 'kernel_size1': 3, 'dropout_rate': 0.4, 'hidden_dim': 183}. Best is trial 1 with value: 1.9432412385940552.
[I 2025-09-28 20:16:01,413] Trial 6 finished with value: 1.9767435789108276 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 248}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:16:07,169] Trial 7 finished with value: 1.8476002216339111 and parameters: {'out_channels1': 12, 'kernel_size1': 2, 'dropout_rate': 0.4, 'hidden_dim': 132}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:16:11,133] Trial 8 finished with value: 1.9734992980957031 and parameters: {'out_channels1': 4, 'kernel_size1': 2, 'dropout_rate': 0.2, 'hidden_dim': 53}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:16:12,700] Trial 9 finished with value: 1.333870768547058 and parameters: {'out_channels1': 16, 'kernel_size1': 2, 'dropout_rate': 0.5, 'hidden_dim': 68}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:16:16,482] Trial 10 finished with value: 1.9515929222106934 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 236}. Best is trial 6 with value: 1.9767435789108276.
