nohup: 忽略输入
[I 2025-09-25 20:58:39,245] A new study created in memory with name: no-name-971b7916-3649-4f1a-8461-0499402deb6c
[I 2025-09-25 20:58:42,262] Trial 0 finished with value: 1.9579196889445791 and parameters: {'hidden_size_1': 184, 'dropout_rate': 0.30000000000000004, 'J': 1, 'Q': 3}. Best is trial 0 with value: 1.9579196889445791.
[I 2025-09-25 20:58:44,715] Trial 1 finished with value: 1.9706706454977043 and parameters: {'hidden_size_1': 108, 'dropout_rate': 0.2, 'J': 3, 'Q': 5}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:46,304] Trial 2 finished with value: 1.933910911903533 and parameters: {'hidden_size_1': 65, 'dropout_rate': 0.5, 'J': 3, 'Q': 1}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:48,341] Trial 3 finished with value: 1.966293722629992 and parameters: {'hidden_size_1': 186, 'dropout_rate': 0.4, 'J': 3, 'Q': 4}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:49,682] Trial 4 finished with value: 1.961199365278239 and parameters: {'hidden_size_1': 60, 'dropout_rate': 0.2, 'J': 1, 'Q': 4}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:51,756] Trial 5 finished with value: 1.9502269311155644 and parameters: {'hidden_size_1': 222, 'dropout_rate': 0.5, 'J': 1, 'Q': 2}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:54,034] Trial 6 finished with value: 1.935968968763309 and parameters: {'hidden_size_1': 59, 'dropout_rate': 0.4, 'J': 1, 'Q': 4}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:56,183] Trial 7 finished with value: 1.96026915785392 and parameters: {'hidden_size_1': 135, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 3}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:57,772] Trial 8 finished with value: 1.955411651165162 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.5, 'J': 1, 'Q': 2}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:58:59,496] Trial 9 finished with value: 1.9506506903593848 and parameters: {'hidden_size_1': 118, 'dropout_rate': 0.2, 'J': 1, 'Q': 5}. Best is trial 1 with value: 1.9706706454977043.
[I 2025-09-25 20:59:01,149] Trial 10 finished with value: 1.9740256907303904 and parameters: {'hidden_size_1': 103, 'dropout_rate': 0.2, 'J': 2, 'Q': 5}. Best is trial 10 with value: 1.9740256907303904.
